"Internal Resource";"Resource";"Means of Transport";"Short Description";
"051Mgtly7z2ktrokhAVw50";"HB75T001";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuBYOj9Q50";"HB75T002";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuE{Fo}w50";"HB75T003";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuE{Fp7w50";"HB75T004";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuMWyGsw50";"HB75T005";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuMWyGvQ50";"HB75T006";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuPZYK6Q50";"HB75T007";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuPZYK8w50";"HB75T008";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuWo5ZHw50";"HB75T009";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuWo5ZPQ50";"HB75T010";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktuWo5ZRw50";"HB75T011";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ktubYxNOw50";"HB75T012";"ZFT004";"HB LKW 7,5 t";
"051Mgtly7z2ku526FUBw50";"HB12T001";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5CcVYQw50";"HB12T002";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5H0Bhvw50";"HB12T003";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5HF3cyw50";"HB12T004";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5Lh0lTQ50";"HB12T005";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5Lh0lVw50";"HB12T006";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5Lh0lYQ50";"HB12T007";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5O}qzDw50";"HB12T008";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5QN{igQ50";"HB12T010";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5QN{iiw50";"HB12T011";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5QN}whw50";"HB12T009";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku5T2}a9w50";"HB12T012";"ZFT004";"HB LKW 12  t";
"051Mgtly7z2ku6NW2{6w50";"HBSP001";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6rWdFew50";"HBSP002";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6uVWNDQ50";"HBSP003";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6uVWNGw50";"HBSP004";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6ytVD7Q50";"HBSP005";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6ytVD9w50";"HBSP006";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6ytVDCQ50";"HBSP007";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku6ytVDEw50";"HBSP008";"ZFT003";"HB Sprinter";
"051Mgtly7z2ku7LXpiBw50";"HBESP001";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7taBUrQ50";"HBESP002";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7taBUtw50";"HBESP003";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7taBUwQ50";"HBESP004";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7wSFPqQ50";"HBESP005";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7zfPWIw50";"HBESP006";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7zfPWLQ50";"HBESP007";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku7zfPWNw50";"HBESP008";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku85yxLmQ50";"HBESP009";"ZFT005";"HB E Sprinter";
"051Mgtly7z2ku85yxLqw50";"HBESP0010";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku85yxLyQ50";"HBESP0011";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku85yxL{w50";"HBESP0012";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku85yxM1Q50";"HBESP0013";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku89a1LlQ50";"HBESP0014";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku89a1Lrw50";"HBESP0015";"ZFT005";"HB Elektro Sprinter";
"051Mgtly7z2ku89a1LuQ50";"HBESP0016";"ZFT005";"HB Elektro Sprinter";
